"ID";"Onderwijssectoren";"Perioden";"TotaalUitgavenAanOnderwijs_1";"TotaalOverheid_2";"TotaalAanOnderwijsinstellingen_3";"LumpsumFinanciering_4";"Contractonderzoek_5";"Apparaatskosten_6";"TotaalSubsidieEnFiscaleRegelingen_7";"EducatiefDeelDagbestPeuterspeelz_8";"Leerlingenvervoer_9";"OnderwijsvoorzieningenJonggehandicapten_10";"TegemoetkomingSchoolkosten_11";"BegeleidingskostenLeerBedrijven_12";"StudiefinancieringGiften_13";"StudiefinancieringLeningen_14";"TotaalOntvangsten_15";"EUSubsidieregelingen_16";"TerugontvangenStudiefinancieringEn_17";"RenteOpStudieleningen_18";"AflossingenOpStudieleningen_19";"TotaalHuishoudens_20";"TotaalAanOnderwijsinstellingen_21";"LesEnCollegegeldBekostigdOnderwijs_22";"LesEnCollegegeldParticulOnderwijs_23";"OuderbijdragenEnSchoolactiviteiten_24";"TotaalOverigeUitgaven_25";"EducatiefDeelDagbestPeuterspeelz_26";"BoekenLeermiddelenOVEnBijles_27";"TeveelOntvangenStudiefinancieringEn_28";"RenteOpStudieleningen_29";"AflossingenOpStudieleningen_30";"TotaalOntvangenBijdragen_31";"KinderopvangtoeslagEducatiefDeel_32";"OnderwijsvoorzieningenJonggehandicapten_33";"TegemoetkomingSchoolkosten_34";"StudiebeurzenVanBedrijven_35";"StudiefinancieringVoorLesEnColl_36";"StudiefinancieringVoorLevensonderhoud_37";"StudiefinancieringLeningen_38";"TotaalBedrijven_39";"TotaalAanOnderwijsinstellingen_40";"BegeleidingDualeLeerlingenStagiairs_41";"LesEnCollegegeldParticulOnderwijs_42";"Contractonderzoek_43";"TotaalOverigeUitgaven_44";"KinderopvangtoeslagEducatiefDeel_45";"Studiebeurzen_46";"TotaalOntvangenSubsidies_47";"Leerlingenvervoer_48";"BegeleidingskostenLeerBedrijven_49";"TotaalBuitenland_50";"TotaalAanOnderwijsinstellingen_51";"InternationaleMiddelen_52";"Contractonderzoek_53";"EUSubsidieregelingen_54";"TotaalUitgavenAanOnderwijs_55";"InBbp_56";"PerHoofdVanDeBevolking_57";"TotaalOverheidsuitgavenAanOnderwijs_58";"InBbp_59";"InVanDeTotaleOverheidsuitgaven_60";"TotaalAanOnderwijsinstellingen_61";"TotaalInBbp_62";"Overheid_63";"HuishoudensBedrijvenBuitenland_64";"PerDeelnemerInclusiefRD_65";"PerDeelnemerExclusiefRD_66"
"239";"A048427";"2000JJ00";"3854";"3049";"2926";"2665";"232";"29";"230";;;;;"0";"230";"285";"106";"0";"59";"48";"55";"342";"303";"198";"105";;"195";;"88";"59";"48";"55";"156";;;;"6";"150";"80";"285";"385";"379";"0";"69";"310";"6";;"6";"0";;"0";"78";"78";"0";"78";"0";"3854";"0.9";"243";"3440";"0.8";"1.8";"3685";"0.8";"0.6";"0.2";"20047";"8006"
"240";"A048427";"2001JJ00";"4053";"3156";"3131";"2821";"278";"32";"122";;;;;"0";"122";"375";"97";"0";"56";"41";"60";"448";"344";"227";"117";;"188";;"91";"56";"41";"60";"84";;;;"5";"79";"43";"375";"378";"373";"0";"77";"296";"5";;"5";"0";;"0";"71";"71";"0";"71";"0";"4053";"0.8";"254";"3628";"0.8";"1.8";"3919";"0.8";"0.6";"0.2";"20667";"7790"
"241";"A048427";"2002JJ00";"4463";"3375";"3381";"3024";"319";"38";"91";;;;;"0";"91";"407";"97";"0";"47";"50";"65";"549";"375";"243";"131";;"197";;"99";"47";"50";"65";"22";;;;"9";"13";"78";"407";"440";"431";"0";"104";"327";"9";;"9";"0";;"0";"100";"100";"0";"100";"0";"4463";"0.9";"277";"3879";"0.8";"1.8";"4286";"0.9";"0.7";"0.2";"21624";"8367"
"242";"A048427";"2003JJ00";"4745";"3653";"3523";"3108";"383";"31";"233";;;;;"0";"233";"433";"103";"0";"51";"52";"75";"530";"429";"273";"156";;"212";;"109";"51";"52";"75";"110";;;;"12";"98";"135";"433";"461";"449";"0";"122";"328";"12";;"12";"0";;"0";"101";"101";"0";"101";"0";"4745";"0.9";"293";"4189";"0.8";"1.8";"4502";"0.9";"0.7";"0.2";"21644";"8454"
"243";"A048427";"2004JJ00";"4909";"3746";"3603";"3175";"400";"29";"250";;;;;"0";"250";"489";"107";"0";"54";"53";"79";"577";"449";"296";"152";;"225";;"118";"54";"53";"79";"96";;;;"12";"84";"166";"489";"470";"458";"0";"94";"364";"12";;"12";"0";;"0";"115";"115";"0";"115";"0";"4909";"0.9";"302";"4342";"0.8";"1.9";"4625";"0.9";"0.7";"0.2";"21497";"8641"
"244";"A048427";"2005JJ00";"5157";"3957";"3766";"3291";"446";"30";"279";;;;;"0";"279";"526";"88";"0";"36";"52";"83";"565";"466";"298";"167";;"213";;"126";"36";"52";"83";"114";;;;"12";"102";"178";"526";"501";"489";"0";"94";"395";"12";;"12";"0";;"0";"134";"134";"0";"134";"0";"5157";"0.9";"316";"4572";"0.8";"2";"4854";"0.9";"0.7";"0.2";"21654";"8477"
"245";"A048427";"2006JJ00";"5236";"4108";"3867";"3353";"482";"32";"315";;;;;"0";"315";"660";"74";"0";"20";"54";"87";"486";"482";"316";"165";;"203";;"129";"20";"54";"87";"199";;;;"16";"183";"132";"660";"486";"470";"0";"94";"376";"16";;"16";"0";;"0";"157";"157";"7";"150";"0";"5236";"0.9";"321";"4841";"0.8";"1.9";"4975";"0.9";"0.7";"0.2";"21890";"8573"
"246";"A048427";"2007JJ00";"5534";"4124";"3985";"3470";"487";"28";"224";;;;;"0";"224";"683";"85";"0";"28";"57";"98";"708";"513";"330";"183";;"219";;"134";"28";"57";"98";"24";;;;"19";"5";"218";"683";"553";"534";"0";"142";"391";"19";;"19";"0";;"0";"150";"150";"11";"139";"0";"5534";"0.9";"338";"4892";"0.8";"1.9";"5182";"0.8";"0.6";"0.2";"21941";"8921"
"247";"A048427";"2008JJ00";"5849";"4394";"4173";"3637";"505";"31";"323";;;;;"0";"323";"715";"102";"0";"35";"67";"116";"596";"535";"344";"191";;"242";;"139";"35";"67";"116";"181";;;;"17";"164";"159";"715";"650";"633";"0";"151";"483";"17";;"17";"0";;"0";"210";"210";"11";"199";"0";"5849";"0.9";"357";"5212";"0.8";"1.9";"5551";"0.9";"0.6";"0.2";"22848";"9094"
"248";"A048427";"2009JJ00";"6182";"4537";"4351";"3735";"578";"38";"298";;;"1";;"0";"297";"704";"113";"0";"32";"81";"137";"698";"563";"372";"191";;"260";;"147";"32";"81";"137";"125";;"1";;"12";"112";"185";"704";"741";"729";"0";"158";"571";"12";;"12";"0";;"0";"207";"207";"12";"195";"0";"6182";"1";"375";"5354";"0.9";"1.8";"5850";"0.9";"0.7";"0.2";"23087";"9025"
